[00:00.000 --> 00:02.000]  Abonnez-vous !
[42:45.000 --> 43:14.000]  Alors, rapidement, comme je vous l'ai dit un instant, à la suite de la loi Lure a changé le champ d'application de ses activités par rapport aux détenteurs de différentes cartes, donc il a été reprécisé ici, au-delà de ce qu'on avait juste au-dessus, à l'article 1 qui disait les gens mentionnés dans la loi OGAI sont concernés par ce code d'identologie, voici également les activités qui sont concernées au cas où certains des acteurs de l'activité sont concernés.
[43:14.000 --> 43:44.000]  Certains qui ne feraient pas partie, notamment pour l'exercice à titre accessoire, qui ne feraient pas partie de ces catégories si jamais ils prêtent leur concours à l'une de ces activités, donc c'est un peu comme si on prenait les choses en ciseaux, on dit les personnes concernées sont celles-là et les autres aussi si jamais elles font ces activités-là pour être sûr de prendre en ciseaux tout le monde et qu'on ne rate personne, que personne puisse dire non, moi je me trouve dans une espèce de petit trou, je me trouve dans un petit trou de la
[43:44.000 --> 44:14.000]  raquette donc je ne suis pas concerné par ce code d'identologie. Donc qui est concerné ? Personne qu'on a mentionné mais également toute personne qui prête son concours et c'est là que c'est très important parce que c'est sur ce point là en fait que tout repose, cette modification de 2019, on exerce à titre habituel ou même à titre accessoire, tous ceux qui font de l'achat, la vente, la recherche, l'échange, ça c'est ce que nous faisons nous, achat, vente, recherche, échange,
[44:14.000 --> 44:26.000]  location, on va l'en faire, c'est pas encore mis en place mais vous savez que c'est en train d'arriver très rapidement, sous location saisonnière ou non, en nu ou en meublé, d'immeuble bâti ou non bâti, c'est vraiment ça que nous faisons nous.
[44:26.000 --> 44:37.000]  L'achat, la vente, location gérante de fonds de commerce, on n'en fait pas. La cession d'un cheptel mort ou vif, alors là merci à Dominique Catel qui m'a appris ce que ça signifiait il y a 2-3 ans parce que je ne savais pas.
[44:37.000 --> 44:56.000]  Le cheptel mort ou vif, qu'est-ce que c'est cette histoire, on a le droit de vendre des tropos de vaches ziguillées et en fait Dominique qui connaît bien le monde agricole m'a dit non le cheptel mort d'un agriculteur c'est tout le matériel, c'est tout ce qui lui sert à exercer son activité d'agriculteur mais qui ne sont pas des animaux vivants.
[44:56.000 --> 45:03.000]  Donc merci à Dominique de m'avoir appris ça il y a plus de 2-3 ans parce que franchement je me dis c'est quoi, c'est des vaches mortes, c'est horrible.
[45:04.000 --> 45:10.000]  Donc mais ça ne nous concerne pas non plus, les parts de société, immobilières, sociétés d'habitat on ne le fait pas non plus.
[45:10.000 --> 45:17.000]  Ce qui nous concerne vraiment c'est l'achat, la vente, la recherche, l'échange, l'allocation, l'oursonnification, c'est-à-dire en nu ou en meublé, d'immeuble bâti ou non bâti.
[45:17.000 --> 45:25.000]  Mais je vous le disais l'intérêt de la modification de cet article ce sont les gens qui prêtent leur concours même à titre accessoire.
[45:26.000 --> 45:31.000]  Typiquement qui sont les gens qui prêtent leur concours à titre accessoire à ces opérations là ?
[45:31.000 --> 45:38.000]  Est-ce que vous avez une idée de qui ça vise ? Je vous donne une idée, il s'agit de nos amis de WeMove.
[45:41.000 --> 45:43.000]  Ce sont les éventuels apporteurs d'affaires.
[45:43.000 --> 45:50.000]  C'est-à-dire toute personne qui se cacherait derrière le fait que contrairement à nous dont c'est le métier,
[45:50.000 --> 45:57.000]  nous aidons les vendeurs et les acquéreurs à vendre ou à acquérir parce que nous ne vendons rien.
[45:57.000 --> 46:02.000]  On n'est pas des commerçants mais c'est notre métier, on fait ça tous les jours et vous faites des ventes.
[46:02.000 --> 46:07.000]  Vous faites plusieurs ventes dans l'année, plusieurs ventes par trimestre, plusieurs ventes par mois.
[46:07.000 --> 46:16.000]  Celui qui dit non non moi je le fais juste une fois, juste par opportunité, juste comme ça, un tout petit peu potentiellement l'apporteur d'affaires
[46:16.000 --> 46:25.000]  ou celui qui pourrait dire c'est à titre accessoire, ce n'est pas mon activité habituelle, donc je ne suis pas soumis à ce code de déontologie.
[46:25.000 --> 46:27.000]  C'était une espèce de petit trou dans la raquette.
[46:27.000 --> 46:34.000]  Et c'est là que la loi a été modifiée pour dire non non non non non non non, même si vous faites ça une fois de temps en temps,
[46:34.000 --> 46:44.000]  vous êtes quand même concerné par ce code de déontologie, vous n'y échapperez pas sous prétexte d'une activité légère qu'on appelle accessoire.
[46:44.000 --> 46:46.000]  C'est vraiment là que ça pointe.
[46:46.000 --> 46:53.000]  Alors Valérie nous dit le viager aussi, oui le viager aussi arrive à la lutte carne relativement rapidement.
[46:53.000 --> 46:56.000]  C'est Yves qui vous prépare les formations.
[46:56.000 --> 46:59.000]  Donc oui oui le viager aussi tout à fait.
[46:59.000 --> 47:04.000]  Et d'ailleurs le viager est également concerné par cela.
[47:04.000 --> 47:10.000]  Le viager c'est une vente, c'est une transaction, c'est une vente, c'est-à-dire un achat et il y a une vente.
[47:10.000 --> 47:17.000]  C'est comme lorsqu'on achète une propriété démembrée, on achète une nu propriété, on achète un jus de fruit, c'est un achat, c'est une vente également.
[47:17.000 --> 47:23.000]  Dominique, un autre Dominique me dit aussi, le chèptel mort est constitué des machines et instruments de travail.
[47:23.000 --> 47:25.000]  Le chèptel vif c'est le bétail.
[47:25.000 --> 47:27.000]  Donc vous voyez c'est Dominique Cattel qui m'a appris ça il y a quelques années.
[47:27.000 --> 47:34.000]  Et là il y a Dominique Giesburger, c'est vraiment les Dominiques qui connaissent ça, qui me précise et me confirme ça lui aussi.
[47:35.000 --> 47:38.000]  Cool, il y a plein de petits vieux ici.
[47:38.000 --> 47:42.000]  Oui alors c'est vrai que le viager c'est une activité d'avenir avec le vieillissement de la population bien sûr.
[47:42.000 --> 47:52.000]  Et il y a beaucoup de personnes âgées qui ont besoin du viager, notamment, alors premièrement pour payer leur toute petite pension de retraite, première chose.
[47:52.000 --> 47:58.000]  Deuxièmement, éventuellement pour payer leur maison de retraite, c'est vrai.
[47:58.000 --> 48:04.000]  Ils ne peuvent pas compter sur leurs enfants, ils leur ont torché les fesses toute leur vie et maintenant qu'il s'agit de payer pour pépé, il n'y a plus personne.
[48:04.000 --> 48:09.000]  Je ne continuerai pas là-dessus.
[48:09.000 --> 48:12.000]  Alors article 2, éthique professionnelle.
[48:12.000 --> 48:16.000]  Les personnes, alors je souligne article 2 comme ça vous voyez qu'on est vraiment là.
[48:16.000 --> 48:27.000]  Les personnes mentionnées à l'article 1er, toujours les agents immobiliers etc. exercent leur profession avec conscience, dignité, loyauté, sincérité et probité.
[48:27.000 --> 48:32.000]  Par leur comportement et leur propos, elles s'attachent à donner la meilleure image de leur profession.
[48:32.000 --> 48:40.000]  Elles s'interdissent tout comportement, action ou omission susceptible de porter préjudice à l'ensemble de la profession.
[48:40.000 --> 48:48.000]  Alors, cet article ne manque pas de sel, vous allez comprendre pourquoi.
[48:48.000 --> 48:53.000]  Il est, oserais-je dire, un peu gonflé.
[48:53.000 --> 49:01.000]  Les personnes mentionnées à l'article 1er exercent leur profession avec conscience, dignité, loyauté, sincérité et probité.
[49:01.000 --> 49:06.000]  Par leur comportement et leur propos, elles s'attachent à donner la meilleure image de leur profession.
[49:06.000 --> 49:12.000]  Elles s'interdissent tout comportement, je le relis, action ou omission susceptible de porter préjudice à l'ensemble de la profession.
[49:12.000 --> 49:37.000]  Ce code de déontologie, par qui a-t-il été écrit ? Par le personnel du ministère, enfin des ministères, oui, mais en concertation avec les représentants de la profession que sont la FNAHIM principalement, l'UNIS, c'est-à-dire les grands syndicats des professions immobilières, FNAHIM, UNIS et les autres.
[49:37.000 --> 49:44.000]  Aucunes participaient d'ailleurs les dirigeants de Centuérie 21, les dirigeants de La Forêt, etc.
[49:44.000 --> 49:50.000]  Parce qu'ils sont représentatifs, ça je ne remets absolument pas en cause leur représentativité, pas du tout.
[49:50.000 --> 50:05.000]  Mais ils ont participé à écrire ça, par leur comportement, leur propos, s'attachent à donner la meilleure image, la loyauté, à un moment où ils étaient tous en train d'agir en sous-main pour torpiller les réseaux d'agents mandataires indépendants qui étaient à l'époque en pleine progression.
[50:05.000 --> 50:18.000]  Et en lesquels ils voyaient des nouveaux concurrents qu'ils voulaient faire disparaître par tous les moyens, y compris les moyens les moins dignes, les moins loyaux, les moins sincères et les moins probes.
[50:18.000 --> 50:33.000]  Concrètement, ils étaient en train de manoeuvrer en sous-main pour torpiller tous les réseaux d'agents mandataires indépendants et ils se drapaient dans le manteau blanc de la vertu en faisant rédiger cet article.
[50:33.000 --> 50:48.000]  Donc, ça veut dire quoi ? Ça veut dire que dans toutes les actions que nous mettons en œuvre au quotidien, que ce soit vis-à-vis de nos clients, de nos clients potentiels et de nos confrères et concurrents, et on va revenir dessus un petit peu plus loin,
[50:48.000 --> 51:01.000]  nous devons toujours nous attacher à donner une image d'honnêteté, de probité, de loyauté, de sincérité, la meilleure image de notre profession possible.
[51:01.000 --> 51:14.000]  N'essayons pas de nous comporter comme des sagouins pour faire prévaloir nos intérêts, bien au contraire, ayons le souci de transmettre une bonne image de notre profession qui, vous le savez,
[51:14.000 --> 51:21.000]  a une réputation absolument épouvantable dans la population française.
[51:21.000 --> 51:32.000]  Alors, dignité, loyauté, sincérité, probabilité, ce sont des mots, et il y a conscience également, mais ça c'est plus difficile à définir, ce sont des mots qui ne sont pas là tout à fait par hasard.
[51:32.000 --> 51:44.000]  Avec conscience, ça veut dire quoi ? Ça veut dire, je réfléchis à ce que je fais, je ne fais pas les choses par hasard, je me demande sincèrement, est-ce que je fais bien ce qu'il faut faire ?
[51:44.000 --> 51:54.000]  Avec dignité, bon ça c'est relativement simple à comprendre, avec dignité, c'est-à-dire pas en me comportant comme un margoulin, bien sûr, loyauté, on va y revenir également par la suite,
[51:54.000 --> 52:05.000]  la loyauté, ça veut dire que je dois à mon mandant, qui généralement est le vendeur, pas dans tous les cas, mais également à l'autre partie, potentiellement l'acquérir,
[52:05.000 --> 52:14.000]  puisque nous dans la majorité des cas, le mandant c'est le vendeur, mais on pourrait être mandaté également par l'acquérir, c'est juridiquement possible, même si c'est de moins en moins le cas depuis la loi Allure,
[52:14.000 --> 52:27.000]  nous leur devons une loyauté, ça veut dire que nous ne devons pas faire preuve et prévaloir uniquement nos intérêts à nous, nous leur devons à eux également la même loyauté,
[52:27.000 --> 52:38.000]  à mon mandant qui m'a confié la mission, mais également à l'autre partie intervenant, il ne m'a pas confié sa mission, mais à laquelle je dois tout de même la même loyauté, c'est très important.
[52:38.000 --> 52:50.000]  Sérieux, je ne mens pas, je ne mens pas, je dis la vérité, je ne masque pas d'informations, je donne toutes les informations que j'ai, et ça c'est quelque chose que nous rencontrons tous les jours,
[52:50.000 --> 53:04.000]  lorsque vous venez nous demander à l'animation, tiens j'ai telle information, telle information, telle information, qu'est-ce que j'en fais ? Et on vous dit, il faut la transmettre à l'acquérir, vous le devez,
[53:04.000 --> 53:15.000]  je vous donne un exemple tout bête et particulièrement illustrant, représentatif, c'est un cas que nous avons rencontré plusieurs fois, je me souviens notamment d'un cas avec Pierre dans le Nord,
[53:15.000 --> 53:28.000]  la maison que je vends, c'est une maison dans laquelle quelqu'un s'est suicidé, c'est la raison pour laquelle je la vends, elle est mise en vente aujourd'hui parce que le grand-père s'est tiré un coup de fusil dans le garage,
[53:28.000 --> 53:38.000]  est-ce que je le vends, tout est nettoyé, il n'y a plus de morceaux sur les murs, est-ce que je le dis aux acquéreurs ? Oui, absolument, vous leur devez cette information,
[53:38.000 --> 53:50.000]  premièrement si vous ne le faisiez pas ce ne serait pas loyal vis-à-vis d'eux mais surtout vous ne seriez pas sincères, vous leur devez cette information parce que vous savez que c'est une information importante dans la prise de décision,
[53:50.000 --> 53:58.000]  on ne peut pas faire semblant de penser que, oh non, ils s'en foutent, ils ne m'ont pas demandé, dites donc, est-ce que quelqu'un s'est suicidé dans cette maison ?
[53:58.000 --> 54:09.000]  Moi je n'ai qu'à pas en parler parce que personne n'en a rien à faire, c'est pas vrai, c'est pas vrai de se dire que personne n'en a rien à faire, moi je ne sais pas si j'en aurais quelque chose à faire mais il est évident que nombre de gens vous dirait,
[54:09.000 --> 54:23.000]  ah non, quelqu'un s'est suicidé dans cette maison, il y a un mois, il y a deux mois, il y a six mois, je ne veux pas habiter dans cette maison, c'est une information importante que vous leur devez par loyauté et par sincérité.
[54:23.000 --> 54:34.000]  Donc j'ai une information, qu'est-ce que j'en fais ? Je vais vous donner un deuxième exemple que nous avons eu assez récemment à l'animation, il y a trois, quatre semaines, quelque chose comme ça, avec le DPE.
[54:34.000 --> 54:53.000]  Notre négociateur qui est avec nous ici, elle nous dit, j'ai un DPE ici vraiment pas bon, très très très mauvais et la vendeuse refait un deuxième DPE qui est meilleur.
[54:53.000 --> 55:04.000]  Moi je suis au courant du fait qu'il y en avait un dégueulasse avant et que là elle l'a demandé un deuxième professionnel, un deuxième négociateur de faire un autre DPE et elle a obtenu une meilleure note.
[55:04.000 --> 55:18.000]  Qu'est-ce que je fais ? Est-ce que je le dis aux acquérants ou pas ? Oui, vous devez le dire aux acquérants. Vous ne pouvez pas juste dire aux acquérants, oh voici le bon DPE et oublier qu'il y en avait un vraiment pas bon juste avant.
[55:18.000 --> 55:31.000]  À partir du moment où vous êtes au courant, alors si vous n'avez pas cette info, vous ne l'avez pas, mais à partir du moment où vous l'avez, vous devez cette information loyellement, sincèrement à votre acquéreur.
[55:31.000 --> 55:44.000]  Et ça je vous dis, c'est un exemple puisque Pierre avec le PP, il s'est pendu, Pierre me précise ici, il s'est pendu pendant les travaux, je ne me souvient plus, il s'est affusé ou je ne sais pas quoi.
[55:44.000 --> 55:52.000]  Et certains acquéreurs ont laissé tomber à cause de ça. Vous voyez, je ne m'invente pas que c'est important pour certaines personnes.
[55:52.000 --> 56:06.000]  Donc ce sont des exemples concrets qui nous sont arrivés. Alors Pierre c'était il y a quelques années, mais l'histoire du DPE avec Vincent, c'était il y a quoi, trois semaines, quatre semaines, un mois, enfin quelque chose comme ça, pas plus.
[56:06.000 --> 56:21.000]  Alors question de Valérie, qu'est-ce qui prévaut dans la note le nouveau ou l'ancien DPE ? Ce sera le nouveau parce que le vendeur donnera le nouveau. Le vendeur donnera le nouveau au notaire et en fait ce qui compte c'est le DPE officiel qu'il a patruqué, que le vendeur donne.
[56:21.000 --> 56:29.000]  Mais c'est ce qui vaudra dans la vente, mais les acquéreurs devront avoir reçu quand même l'information. Et probité, qu'est-ce que c'est probité ?
[56:29.000 --> 56:40.000]  La probité c'est l'honnêteté, tout simplement, c'est un comportement probe. Probité c'est l'honnêteté, je ne fais pas de magouille, c'est ça. La probité c'est je m'abstiens de magouiller.
[56:40.000 --> 56:49.000]  Dans leurs comportements et dans leurs propos également, en particulier dans les propos que nous tenons à propos de nos confrères et concurrents.
[56:50.000 --> 56:58.000]  Est-ce que c'est la même chose pour un décès ? Oui Jackie, d'ailleurs Jackie je me souviens vous aviez eu un cas comme ça aussi. Si je ne me trompe pas, assez similaire, oui c'est la même chose pour un décès.
[56:58.000 --> 57:05.000]  Parce que c'est une information que nous avons, à partir du moment où nous l'avons, nous devons la transmettre aux acquéreurs, il n'y a pas de doute.
[57:05.000 --> 57:13.000]  Même si ce n'est pas un suicide, un décès, alors vous pourriez me dire, mais attendez, dans toute maison un peu ancienne, il y a eu des décès.
[57:13.000 --> 57:19.000]  Il y a eu des décès il y a 20 ans, il y a 30 ans, il y a 100 ans, il y a eu des décès dans toute maison ou appartement un peu anciens.
[57:19.000 --> 57:22.000]  Oui c'est vrai, il y a eu des décès, il y a eu des naissances, il y a eu des rires et des larmes.
[57:22.000 --> 57:34.000]  C'est vrai, mais un décès relativement récent dont on a connaissance, vous pourriez me dire, mais psychologiquement, ça n'a pas plus d'incidence que l'effet psychologie sur l'acquérant.
[57:34.000 --> 57:39.000]  Oui, mais cet effet psychologique, il compte. Donc oui, un décès, on doit éventuellement le donner.
[57:39.000 --> 57:41.000]  On va donner cette information.
[57:43.000 --> 57:49.000]  Article 3, respect des lois et règlements. Alors vous me direz, l'article 1 du Code civil dispose que nul n'est associé à ignorer la loi.
[57:49.000 --> 57:53.000]  Donc de toute manière, on doit respecter les lois et les règlements. Qu'est-ce que c'est un règlement ?
[57:53.000 --> 57:57.000]  Règlements ce sont les arrêtés, les décrets, et ils ont la même valeur que la loi.
[57:57.000 --> 58:04.000]  Alors ils sont inférieurs à la loi dans ce qu'on appelle la hiérarchie des normes.
[58:04.000 --> 58:17.000]  La hiérarchie des normes, vous savez, c'est d'abord... la hiérarchie des normes, c'est quelles normes de droit, c'est-à-dire quelles règles, on va dire, s'imposent aux autres lorsque notamment elles se contredisent.
[58:17.000 --> 58:22.000]  On a une loi et un décret qui se contredisent. Qui gagne ? Il y a deux manières d'envisager ça.
[58:22.000 --> 58:31.000]  Il y a ce qu'on appelle les conflits de loi dans le temps. Entre une loi qui a été passée à une certaine date et une autre loi qui a été passée à une autre date, elles se contredisent.
[58:31.000 --> 58:42.000]  La quels l'emportent et il y a également ce qu'on appelle la hiérarchie des normes, c'est-à-dire parmi toutes les normes qui régissent notre comportement et notre société, lesquelles l'emportent sur lesquelles.
[58:42.000 --> 58:58.000]  On considère en France et en Europe qu'il y a d'abord les prêtés internationaux, ensuite la constitution, ensuite la loi, ensuite les règlements, c'est-à-dire les décrets, les arrêtés municipaux, etc.
[58:58.000 --> 59:09.000]  C'est-à-dire que si un arrêté municipal contredit la loi, c'est la loi qui gagne. Si la loi contredit la constitution, c'est la constitution qui gagne.
[59:09.000 --> 59:16.000]  Et si la constitution contredit un traité international, les juristes les plus avisés vous diront que ça n'est pas possible.
[59:16.000 --> 59:29.000]  C'est le principe de la... là on va rentrer dans le détail juridique, c'est ce qu'on appelle le principe de la théorie de la loi écran selon laquelle de toute manière lorsqu'on signe un traité international,
[59:29.000 --> 59:43.000]  on met éventuellement la constitution en accord avec ce traité international pour le ratifier. Donc on n'est pas supposé avoir de conflit, mais on donne cependant la préimulance aux traités internationaux et notamment à l'Europe.
[59:43.000 --> 59:49.000]  On ne va pas rentrer dans le détail, c'est bien, c'est pas bien, c'est comme ça et c'est tout. Donc, respect des lois et règlements.
[59:49.000 --> 01:00:01.000]  Dans l'exercice de leurs activités, les personnes mentionnées à l'article premier, les agents immobiliers, agissent dans le strict respect des lois et textes réglementaires en vigueur ainsi que des dispositions du présent code.
[01:00:01.000 --> 01:00:24.000]  On s'oblige à respecter la loi, les arrêtés, décrets, etc. Typiquement des arrêtés que nous devons observer chaque jour, le PLU, le PLU a été instauré par la loi, oui, mais ensuite c'est la commune qui par arrêté municipal définit le PLU, le contenu du PLU.
[01:00:24.000 --> 01:00:36.000]  Ainsi que les dispositions du présent code, puisque le présent code on s'oblige à l'appliquer, même si, je disais de cela, nous on n'a pas signé ce code de déontologie, mais comme il a valeur légale, il s'impose à nous qu'on le veuille ou qu'on ne le veuille pas.
[01:00:36.000 --> 01:00:48.000]  Contrairement au code de bonne conduite et au règlement intérieur de l'école, vous le signez en début d'année, comme ça on vous dit après, oh, du long, il ne fallait pas danser sur les tables, mais ça, que je le signe ou pas, il s'impose à moi.
[01:00:48.000 --> 01:01:00.000]  En particulier, elle s'oblige à ne commettre, premièrement, aucune des discriminations mentionnées à l'article 125-111 du code pénal, tant à l'égard des personnes physiques que des personnes morales.
[01:01:00.000 --> 01:01:12.000]  Ça, on y revient la semaine prochaine lors de la visioconférence sur la non-discrimination dans l'accès au logement. Ce sont des choses que vous avez rencontrées, les uns et les autres, régulièrement.
[01:01:12.000 --> 01:01:23.000]  On y revient la semaine prochaine. En gros, vous n'avez pas le droit de faire de discriminations basées sur rien du tout, mais la race, la couleur de peau, la religion, vrai ou supposé de qui que ce soit dans l'accès au logement.
[01:01:23.000 --> 01:01:27.000]  Nous, ça ne nous concerne pas trop, ça concerne plutôt les locations.
[01:01:27.000 --> 01:01:39.000]  Deuxièmement, à veiller au respect des obligations qui leur incombrent en matière de lutte contre le blanchiment des capitaux et le financement du terrorisme en application de l'article L561-122 du code monétaire et financier.
[01:01:39.000 --> 01:01:44.000]  Là encore, on en reparle la semaine prochaine au cours de la visioconférence sur TRACFAM.
[01:01:44.000 --> 01:01:45.000]  C'est la même chose.
[01:01:45.000 --> 01:01:55.000]  Troisièmement, à veiller aux dispositions de la loi numéro 118-117 du 6 janvier 2010, relative à l'informatique et aux fichiers et aux libertés.
[01:01:55.000 --> 01:01:59.000]  C'est ce qu'on appelle la fameuse loi informatique et libertés.
[01:01:59.000 --> 01:02:17.000]  En gros, nous, nous obligeons à respecter la loi en matière de traitement des données dans les fichiers qui pourraient contenir le nom, le prénom, l'adresse, le numéro de téléphone, la date de naissance ou toute information pure nos éventuels clients prospects.
[01:02:17.000 --> 01:02:22.000]  Ça a été renforcé depuis avec le règlement européen sur le RGPD.
[01:02:22.000 --> 01:02:29.000]  La loi du 6 janvier 2018 est toujours en vigueur, bien sûr, elle est toujours là.
[01:02:29.000 --> 01:02:33.000]  Mais le RGPD est venu renforcer ça.
[01:02:33.000 --> 01:02:38.000]  Ce n'est pas à vous de faire ça, c'est nous, puisque tous vos fichiers sont dans la base de données des Bantines.
[01:02:38.000 --> 01:02:56.000]  Si jamais vous avez des fichiers vous-même personnels sur votre ordinateur à partir du moment où ils sont traités informatiquement, vous devriez vous enquérir de leur conformité avec la loi informatique et libertés et le RGPD.
[01:02:56.000 --> 01:02:59.000]  Bon courage à vous, c'est un J-RAM.
[01:02:59.000 --> 01:03:04.000]  Donc ne tenez pas de fichiers personnels ni sur Excel, ni sur n'importe quoi.
[01:03:04.000 --> 01:03:11.000]  Un simple fichier Excel dans lequel il y a le nom, le prénom, l'adresse de vos clients, vous êtes soumis à la loi informatique et libertés et au RGPD.
[01:03:11.000 --> 01:03:19.000]  Donc ne le faites pas, reposez-vous sur Eglantine qui est en conformité avec la loi informatique et libertés et le RGPD.
[01:03:19.000 --> 01:03:25.000]  Quatrième, a refusé le concours lorsque son sollicité pour l'élaboration d'actes fraudulents.
[01:03:25.000 --> 01:03:28.000]  Ça peut vous arriver, c'est très rare ça.
[01:03:28.000 --> 01:03:34.000]  Parce que généralement quand on a un client qui veut magouiller, il magouille tout seul dont son point n'irait pas nous le dire.
[01:03:34.000 --> 01:03:40.000]  Mais imaginons qu'un client, c'est déjà arrivé, je vais vous donner des exemples, mais en règle générale il ne nous le dit pas.
[01:03:40.000 --> 01:03:44.000]  C'est là la difficulté parce qu'on peut dire, bah oui mais c'était à vous de le détecter quand même.
[01:03:44.000 --> 01:03:54.000]  Que se passe-t-il lorsqu'un client nous dit, voilà ce que je veux ou ce que je vais faire et qu'il vous en rend complice ?
[01:03:54.000 --> 01:04:00.000]  Là vous devez dire non, non je ne fais pas, non je m'en vais, non ne comptez pas sur moi, non c'est interdit.
[01:04:00.000 --> 01:04:10.000]  L'exemple le plus répandu dans notre profession, c'est lorsqu'un client veut payer une partie de la maison et ou des zones horaires en liquide.
[01:04:10.000 --> 01:04:18.000]  Vous pouvez dire, oh ça ne mange pas de pain, ça se faisait beaucoup dans les années 80 c'est vrai, peut-être même les années 90.
[01:04:18.000 --> 01:04:24.000]  Aujourd'hui avec Trakfan etc. dont on va reparler la semaine prochaine, je peux vous garantir que ce n'est pas la même soupe.
[01:04:24.000 --> 01:04:31.000]  Oh ça ne se verra pas, personne ne saura, vous avez plutôt intérêt à ce que personne ne le sache parce que là ça va vous revenir dans le trif mais comme un boomerang.
[01:04:31.000 --> 01:04:37.000]  Mais ce n'est pas le fait de vouloir passer des enveloppes sous la table, ce n'est pas le seul cas.
[01:04:37.000 --> 01:04:46.000]  Parfois ça se faisait même avec, je ne vais pas dire la complicité mais avec le regard bienveillant du notaire.
[01:04:46.000 --> 01:04:55.000]  Moi je me souviens, ça a très longtemps, il arrivait un moment où le notaire quittait la pièce lors d'un acte de vente en disant,
[01:04:55.000 --> 01:05:07.000]  bon je vous laisse dix minutes, je vais faire des photocopies, je ne reviendrai pas pendant dix minutes, vous êtes tranquille pendant dix minutes, je ne suis pas dans la pièce.
[01:05:07.000 --> 01:05:16.000]  Et le notaire sortait pour laisser vendérés et acquereurs s'échanger des enveloppes des billets pour payer une partie du bien.
[01:05:16.000 --> 01:05:25.000]  Le notaire partait du principe, je ne suis pas au courant, je ne suis pas là, je suis sorti de la pièce, je sais que ce soit un lieu mais je n'étais pas dans la pièce, on ne peut pas me le reprocher.
[01:05:25.000 --> 01:05:29.000]  Aujourd'hui un notaire qui dirait ça, il perd son étude.
[01:05:29.000 --> 01:05:46.000]  Les autres cas c'est lorsque vous auriez typiquement un vendeur qui vous dit, la superficie j'ai bidouillé le certificat ou j'ai obtenu un meilleur DPE parce que je suis copain avec le diable sticker.
[01:05:46.000 --> 01:05:56.000]  Ah non non non monsieur, je sais que le DPE, la superficie ou tout autre document n'est pas régulier, c'est non, ne comptez pas sur moi.
[01:05:56.000 --> 01:06:01.000]  Je ne fais pas la vente ou alors je le dirai aux acquereurs, je le dirai aux acquereurs.
[01:06:01.000 --> 01:06:08.000]  Donc vous devez refuser toute proposition de quiconque qui sorte du cadre de la loi.
[01:06:08.000 --> 01:06:12.000]  Alors vous direz, ah ben oui mais dans ce cas là je rate ma vente.
[01:06:12.000 --> 01:06:18.000]  Oui vous ratez votre vente, très clairement vous ratez votre vente dans un cas comme celui-là.
[01:06:18.000 --> 01:06:20.000]  Absolument, bien sûr.
[01:06:20.000 --> 01:06:25.000]  Père nous pose une question par rapport au RGPD à la loi Informatique et Libertés juste avant et notre répertoire de téléphone.
[01:06:25.000 --> 01:06:31.000]  Non votre répertoire de téléphone il y a juste nom, prénom et numéro de téléphone, potentiellement l'adresse.
[01:06:31.000 --> 01:06:38.000]  Ça ça va parce que il y a de la jurisprudence là-dessus, on considère que simplement un moyen de contacter les gens.
[01:06:38.000 --> 01:06:46.000]  Par contre si jamais dans votre téléphone, parce qu'on peut faire ça, vous rajoutiez les dates de naissance, vous rajoutiez des informations,
[01:06:46.000 --> 01:06:52.000]  là oui vous devriez absolument vous mettre en conformité avec l'ACNIL.
[01:06:52.000 --> 01:06:58.000]  Normalement dans votre téléphone pour être sûr d'être à l'abri vous avez nom, prénom, numéro de téléphone.
[01:06:58.000 --> 01:07:00.000]  Tout va bien, c'est juste un moyen de communication.
[01:07:00.000 --> 01:07:03.000]  À partir du moment où vous mettez l'adresse, déjà vous voyez vous avez une étape supplémentaire,
[01:07:03.000 --> 01:07:10.000]  mais il y a une jurisprudence relativement récente qui considère que là encore ça n'est tout simplement qu'un moyen de communiquer comme avec l'adresse mail.
[01:07:10.000 --> 01:07:13.000]  C'est pareil, Sandrine nous demande et le mail, c'est exactement la même chose.
[01:07:13.000 --> 01:07:19.000]  Comme avec l'adresse mail on est dans le simple moyen coordonné pour communiquer avec les gens, dans un téléphone.
[01:07:19.000 --> 01:07:24.000]  Parce qu'il y a un but évident, communiquer avec les gens.
[01:07:24.000 --> 01:07:28.000]  À partir du moment où vous mettez ces informations dans un fichier informatique, c'est-à-dire un fichier Excel,
[01:07:28.000 --> 01:07:32.000]  c'est plus pour communiquer, c'est que vous tenez des fichiers, c'est plus pareil.
[01:07:32.000 --> 01:07:36.000]  À partir du moment où vous avez dans votre téléphone des informations supplémentaires,
[01:07:36.000 --> 01:07:41.000]  la date de naissance, le revenu, qu'est-ce qu'il fait comme travail ou que sais-je encore,
[01:07:41.000 --> 01:07:45.000]  là encore on n'est plus dans la finalité simple de communication, on dépasse.
[01:07:45.000 --> 01:07:48.000]  Donc là il faut dire ballon, RGPD.
[01:07:50.000 --> 01:07:52.000]  Article 4, compétences.
[01:07:54.000 --> 01:08:01.000]  Les personnes mentionnées à l'article premier doivent posséder les connaissances théoriques et pratiques nécessaires à l'exercice de leur activité.
[01:08:01.000 --> 01:08:06.000]  Elles se tiennent à former des évolutions législatives et réglementaires ayant un rapport avec leurs activités
[01:08:06.000 --> 01:08:09.000]  ou qui sont susceptibles d'influer sur les intérêts qui leur sont confiés.
