[00:00.000 --> 00:03.000]  Réseau d’agent Mandat
[28:36.000 --> 28:43.000]  avec la montée des taux, je vais payer 100 000 euros net vendeur plus 90 000 euros sur 20 ans.
[28:43.000 --> 28:47.000]  Vous voyez, ça peut avoir une influence déterminante les taux.
[28:47.000 --> 28:54.000]  Ça veut dire que ma maison, au lieu de la payer en tout 160 000 euros, je vais la payer en tout 190 000 euros sur 20 ans.
[28:54.000 --> 29:00.000]  C'est énorme. C'est là l'impact. C'est que ma maison coûte beaucoup plus cher.
[29:00.000 --> 29:04.000]  Pas plus cher de 5 000 balles, plus cher de 20, 30, 40 000 euros.
[29:04.000 --> 29:13.000]  Donc si les prix baissent de 30 000 euros, c'est-à-dire au lieu de payer ma maison 100 000 euros net vendeur,
[29:13.000 --> 29:19.000]  je la paye 70 000 euros, et bien j'ai de quoi compenser l'augmentation des taux.
[29:19.000 --> 29:24.000]  Pierre a raison, c'est mécanique, c'est mathématique.
[29:24.000 --> 29:30.000]  Oui, si les prix baissaient en rapport, ça serait vrai.
[29:30.000 --> 29:36.000]  Il faudrait que les vendeurs se disent, bon ben voilà, pour vendre, je vais devoir baisser mon prix.
[29:36.000 --> 29:39.000]  En fait, il aurait fallu quoi pour compenser cet avis ?
[29:39.000 --> 29:43.000]  Il aurait fallu qu'on met une bande, il baisse de peut-être 20% des prix.
[29:44.000 --> 29:50.000]  Mais le vendeur va baisser son prix de 20%, parce qu'un vendeur qui baisse son prix de 20%,
[29:50.000 --> 29:58.000]  avec les taux de rotation, c'est-à-dire le délai moyen de possession d'un bien immobilier,
[29:58.000 --> 30:04.000]  qui aujourd'hui s'approche des 5, France confondue, en centre-ville, dans une grande ville, c'est très court,
[30:04.000 --> 30:11.000]  c'est aux alentours de 3 ans, c'est-à-dire qu'on achète un appartement, en moyenne, entre les gros appartements, les petits appartements,
[30:11.000 --> 30:16.000]  on achète un appartement, on reste entre 3 et 4 ans dedans, avant de le revendre.
[30:16.000 --> 30:20.000]  Vous allez à la campagne, les grandes propriétés, là ça monte à 10, 15, 20 ans.
[30:20.000 --> 30:25.000]  Les vieilles propriétés familiales, parfois ça peut être 50, 60, 70 ans, 100 ans.
[30:25.000 --> 30:35.000]  Donc aujourd'hui, on est toute France confondue, taux produits confondus, on est entre 5 et 7 ans, quelque chose comme ça.
[30:35.000 --> 30:39.000]  Il faudrait regarder quelles sont les matières de l'éolien, est-ce que je peux trouver ça ?
[30:39.000 --> 30:46.000]  Le taux de rotation immobilière actualisé France comprise, on appelle ça le taux de rotation,
[30:46.000 --> 30:52.000]  c'est en gros quand le bien change de main, ou le taux de rétention, combien de temps je le garde ?
[30:57.000 --> 31:03.000]  Alors ça, c'est la taux de rotation du parcs en pourcentage, c'est autre chose, moi je le veux en année.
[31:03.000 --> 31:05.000]  Je vais mettre...
[31:25.000 --> 31:27.000]  Ça.
[31:33.000 --> 31:46.000]  Bon, peut-être il va falloir que je fasse des recherches plus... Parce que je pensais le trouver comme ça en enclaquement de doigts, non.
[31:46.000 --> 31:50.000]  Là on arrive sur la plus value, il faudrait que je le cherche pendant plus longtemps.
[31:50.000 --> 31:56.000]  Mais bon, je ne me trompe pas si je vous dis qu'on est entre 5 et 7 ans, toute France confondue.
[31:56.000 --> 32:01.000]  Ça veut dire que celui qui a acheté sa maison, je vous dis une bêtise, il y a 5 ans,
[32:01.000 --> 32:11.000]  s'il fait dès maintenant une baisse de 20%, il risque de se rapprocher du prix auquel il a acheté, voire même d'avoir une moins value.
[32:11.000 --> 32:16.000]  Or, psychologiquement, tout vendeur veut faire une grosse plus-value sur sa maison.
[32:16.000 --> 32:19.000]  Est-ce qu'il le fait ? Ce qu'il ne le fait pas, c'est une autre question.
[32:19.000 --> 32:25.000]  Tout vendeur se dit, je vends ma maison beaucoup plus cher que je ne l'ai acheté, je gagne de l'argent sur ma maison.
[32:25.000 --> 32:29.000]  C'est pour ça que je vous parlais tout à l'heure de la notion du concept d'enrichissement sans cause.
[32:29.000 --> 32:36.000]  Gagner de l'argent sans véritable raison, sans véritablement avoir fait quoi que ce soit pour générer cette richesse.
[32:36.000 --> 32:42.000]  Tout vendeur veut faire un bénéfice, une plus-value sur l'achat de sa maison.
[32:42.000 --> 32:53.000]  Et bien, celui qui ne fera pas de bénéfice, déjà il faut qu'il avale, glups, première pilule, je ne vais pas faire de bénéfice.
[32:53.000 --> 32:57.000]  Ensuite, ou alors je vais en faire un petit.
[32:57.000 --> 33:01.000]  Deuxième pilule, je n'en fais pas du tout. Troisième pilule, je vends au même prix.
[33:01.000 --> 33:06.000]  Quatrième pilule, je vends moins cher que je n'ai acheté.
[33:06.000 --> 33:09.000]  Les vendeurs ne veulent pas ça. Il y a un vrai blocage psychologique.
[33:09.000 --> 33:11.000]  Donc Pierre a entièrement raison.
[33:11.000 --> 33:19.000]  Pour contrer l'inflation, il suffirait entre guillemets de faire baisser les prix dans une juste proportion,
[33:19.000 --> 33:24.000]  pour compenser la hausse de l'inflation et donc la hausse des taux.
[33:24.000 --> 33:27.000]  Mais psychologiquement, les vendeurs ne le veulent pas.
[33:27.000 --> 33:33.000]  Ou alors ça prend très longtemps d'avaler toutes ces pilules les unes après les autres.
[33:33.000 --> 33:37.000]  Mais c'est ce qu'il faudrait faire, bien sûr.
[33:37.000 --> 33:45.000]  Il nous dit que c'est parce que la Société Générale a rajouté la colbe et ils ont besoin d'argent.
[33:45.000 --> 33:48.000]  Ah, c'est pour une raison spécifique.
[33:48.000 --> 33:53.000]  Le Pélatif nous dit que c'est la BCE qui a la main sur les taux. Oui, de manière réelle, c'est bien sûr.
[33:53.000 --> 34:02.000]  Avant, un couple qui pouvait 200 000 euros maintenant peut 170 000 euros.
[34:02.000 --> 34:05.000]  Si le vendeur baisse de 30 000 euros, c'est réglé.
[34:05.000 --> 34:08.000]  Oui, si le vendeur baisse de 30 000 euros.
[34:08.000 --> 34:13.000]  Pierre prend des chiffres à peu près similaires à ceux que je vous avais donné.
[34:13.000 --> 34:18.000]  Moi j'étais sur 190 000 au lieu de 160 000 et lui il est sur 200 000 au lieu de 160 000.
[34:18.000 --> 34:20.000]  Les grands esprits se rencontrent.
[34:20.000 --> 34:22.000]  Pierre a raison sur le principe, c'est tout à fait vrai.
[34:22.000 --> 34:31.000]  Mais il faut donc que le vendeur fasse ce travail psychologique et accepte de vendre avec 30 000 euros de moins de ce qu'il espérait.
[34:31.000 --> 34:36.000]  15% de baisse vu l'augmentation de ces dernières années, ils peuvent.
[34:36.000 --> 34:41.000]  Mais c'est ça le problème, c'est qu'il ne faut pas qu'il le puisse, il faut qu'il l'accepte.
[34:41.000 --> 34:44.000]  C'est pour ça que je vous dis que c'est un problème psychologique.
[34:44.000 --> 34:50.000]  Oui, un grand nombre d'entre eux, pas tous bien sûr, mais un grand nombre d'entre eux le peuvent.
[34:50.000 --> 34:52.000]  Tout à fait vrai.
[34:52.000 --> 34:55.000]  Est-ce qu'ils le veulent, est-ce qu'ils l'acceptent ?
[34:56.000 --> 35:01.000]  Et c'est là, nous, qu'on a notre travail à faire pour faire baisser les prix.
[35:01.000 --> 35:05.000]  Tout le temps, on entend les gens disent, oui, si les prix montent, si à cause des agents immobiliers ils veulent que les prix montent,
[35:05.000 --> 35:07.000]  parce que comme ça leurs renseignements sont plus élevés.
[35:07.000 --> 35:11.000]  Mais si les gens s'avèrent à quel point c'est une bêtise, ça, c'est pas vrai du tout.
[35:11.000 --> 35:14.000]  Nous, notre travail, c'est juste de faire baisser les prix.
[35:14.000 --> 35:19.000]  Plus les prix sont bas, mieux on arrive à fluidifier le marché et à faire des ventes.
[35:19.000 --> 35:28.000]  Les plus gros trusts nous disent bien sûr, par contre, pourquoi l'État ne joue pas sur les frais de notaire ?
[35:28.000 --> 35:30.000]  Ce sera plus facile à faire.
[35:30.000 --> 35:33.000]  L'État peut aussi jouer sur les frais de notaire.
[35:33.000 --> 35:37.000]  Le truc, c'est que si on va regarder la composition des frais de notaire,
[35:37.000 --> 35:39.000]  on va regarder ça ensemble.
[35:39.000 --> 35:43.000]  Alors déjà, je vais partager mon écran parce que je m'interroge là, vous voyez pas ce que je vois.
[35:44.000 --> 35:49.000]  Composition des frais de notaire.
[35:49.000 --> 35:55.000]  Les frais de notaire, en fait, dedans, il y a un visuel d'ailleurs là-dessus qui s'appelle les droits de mutation.
[35:55.000 --> 36:01.000]  Les frais de notaire sont composés, hop, on va le voir ensemble, refusés de plusieurs choses.
[36:01.000 --> 36:08.000]  Il y a les émoluments, ce qu'on appelle souvent les émoluments du notaire.
[36:08.000 --> 36:12.000]  Ça, c'est la part qui revient au notaire, c'est sa rémunération à lui.
[36:12.000 --> 36:19.000]  On pourrait toucher aux émoluments des notaires parce que c'est décidé par le gouvernement,
[36:19.000 --> 36:24.000]  enfin par la chancellerie exactement, est négocié avec la Chambre des notaires.
[36:24.000 --> 36:27.000]  On pourrait jouer sur les émoluments des notaires.
[36:27.000 --> 36:30.000]  Mais qu'est-ce qu'il y a d'autre ?
[36:30.000 --> 36:34.000]  Il y a les débours.
[36:34.000 --> 36:41.000]  Sur toutes les sommes avancées par le notaire, les recommandés, les photocopies, les machins,
[36:41.000 --> 36:43.000]  tout ça on ne peut pas y toucher.
[36:43.000 --> 36:46.000]  recommander ça coûte, je dis une bêtise, ça coûte 6 euros, c'est 6 euros, on ne peut pas y toucher.
[36:46.000 --> 36:49.000]  C'est là-dessus qu'on peut aller, sur les droits et taxes.
[36:49.000 --> 36:53.000]  C'est là-dessus que le gouvernement pourrait véritablement jouer.
[36:53.000 --> 36:59.000]  Mais le problème, c'est que ces droits et taxes, il y en a plusieurs.
[36:59.000 --> 37:06.000]  Il y en a plusieurs, il y en a une partie qui va à l'État, pas beaucoup.
[37:06.000 --> 37:10.000]  Une partie qui va à la commune, une partie qui va au département,
[37:10.000 --> 37:14.000]  il y en a qui vont un petit peu partout à droite à gauche.
[37:14.000 --> 37:20.000]  Et ça veut dire qu'on n'a pas un levier sur lequel on peut agir pour baisser la note.
[37:20.000 --> 37:28.000]  Si on joue sur ce levier, ça va avoir un impact sur les collectivités territoriales, locales, etc.
[37:28.000 --> 37:31.000]  En fait, ça va avoir des impacts à plein d'endroits différents.
[37:31.000 --> 37:34.000]  C'est la raison pour laquelle c'est difficile de jouer sur les frais de la terre.
[37:34.000 --> 37:38.000]  Mais effectivement, oui, ça pourrait passer aussi par là.
[37:38.000 --> 37:43.000]  Avez-vous connu depuis la création du réseau à la lucarne une crise aussi grave que celle que nous rencontrons actuellement ?
[37:43.000 --> 37:46.000]  Oui, la crise des subprimes. C'est là Jet qui pose cette question.
[37:46.000 --> 37:50.000]  Oui, la crise des subprimes en 2008-2009, ça a été une crise très grave.
[37:50.000 --> 37:56.000]  Ça a été une crise très très très grave dans laquelle on a...
[37:56.000 --> 38:00.000]  Pouvez-vous zoomer un petit peu, monsieur, sur ce qui est sur Mathieu.
[38:00.000 --> 38:02.000]  Voilà.
[38:02.000 --> 38:05.000]  Ça a été une crise très grave, la crise des subprimes.
[38:05.000 --> 38:08.000]  Oui, ça a été difficile.
[38:08.000 --> 38:11.000]  Il a fallu serrer les dents, tout même qu'aujourd'hui, c'est difficile.
[38:11.000 --> 38:13.000]  Il faut qu'on serre tous les dents, bien sûr.
[38:13.000 --> 38:18.000]  Mais oui, oui, la crise des subprimes, ça a été une crise très très dure, très grave.
[38:18.000 --> 38:23.000]  Ça a été exactement en 2008-2009-2010, sur trois ans.
[38:23.000 --> 38:25.000]  C'est-à-dire qu'en 2008, il y a eu la crise.
[38:25.000 --> 38:30.000]  Nous, on a ressenti l'impact fin 2008-2009.
[38:30.000 --> 38:32.000]  Et il est...
[38:32.000 --> 38:34.000]  Oh là là, je me dis n'importe quoi, excusez-moi.
[38:34.000 --> 38:37.000]  On en a ressenti l'impact en 2008-2009.
[38:37.000 --> 38:39.000]  Oh là là, mais qu'est-ce qui se passe ?
[38:39.000 --> 38:40.000]  Je suis gâteux.
[38:40.000 --> 38:45.000]  On en a ressenti l'impact fin 2008-2009.
[38:45.000 --> 38:49.000]  Et 2010, la situation était en train de s'améliorer.
[38:49.000 --> 38:53.000]  Oui, ça a été une crise vraiment difficile, la crise des subprimes.
[38:53.000 --> 38:56.000]  Beaucoup d'entre vous n'étaient pas là à l'époque.
[38:56.000 --> 38:59.000]  Mais il y en avait quand même quelques-uns.
[38:59.000 --> 39:01.000]  Ouais, ça n'a pas été facile, je trouve.
[39:01.000 --> 39:04.000]  Ça n'a pas été facile à vivre.
[39:08.000 --> 39:11.000]  Comme tout bon français, on veut toujours vendre au plus cher.
[39:11.000 --> 39:14.000]  On nous dit, il y a que les Français qui veulent ça, je ne sais pas.
[39:14.000 --> 39:16.000]  Mais c'est vrai, on veut vendre au plus cher.
[39:16.000 --> 39:20.000]  On veut récupérer le plus de bénéfices possibles de notre vente.
[39:20.000 --> 39:22.000]  C'est naturel, non ?
[39:22.000 --> 39:28.000]  C'est comme si le vendeur payait les intérêts d'emprunt de l'acquérateur.
[39:28.000 --> 39:31.000]  Oui, on peut voir ça comme ça, dans une certaine mesure.
[39:31.000 --> 39:35.000]  C'est comme si c'était au vendeur, s'il baisse les prix.
[39:35.000 --> 39:38.000]  Le vendeur de 30 000 euros, par exemple, comme on disait tout à l'heure.
[39:38.000 --> 39:44.000]  C'est comme si c'est lui qui prenait à sa charge la hausse du coût de l'empreinte sur l'acquérateur.
[39:44.000 --> 39:48.000]  Oui, c'est comme si on partageait ça entre l'un et l'autre.
[39:48.000 --> 39:51.000]  Il y a de ça, tout à fait.
[39:51.000 --> 39:56.000]  S'il n'y a pas d'autres remarques et d'autres questions là-dessus, on va passer à la suite.
[40:02.000 --> 40:04.000]  Isabelle est là, très bien.
[40:04.000 --> 40:06.000]  Isabelle nous a posé une question aujourd'hui.
[40:06.000 --> 40:12.000]  C'est une question dont les plus anciens ont déjà entendu parler mille et mille et mille et mille fois.
[40:12.000 --> 40:15.000]  Mais c'est moins évident pour les plus récents d'entre vous.
[40:15.000 --> 40:18.000]  On va en parler sur une question régulièrement.
[40:18.000 --> 40:20.000]  Attendez, je prends ça.
[40:20.000 --> 40:23.000]  Et ensuite, voilà.
[40:37.000 --> 40:39.000]  J'ai cherché mon petit fichier.
[40:40.000 --> 40:42.000]  Partager.
[40:47.000 --> 40:49.000]  C'est la question de la change acquéreur.
[40:49.000 --> 40:52.000]  Il y a plusieurs questions qui ont été posées à l'invitation.
[40:52.000 --> 40:56.000]  On a pas mal de petites choses à voir comme ça.
[40:56.000 --> 41:01.000]  La question de la change acquéreur qui a été posée par Isabelle, Isabelle qui est dans le 2.
[41:04.000 --> 41:07.000]  Pourquoi sommes-nous charge acquéreur?
[41:07.000 --> 41:09.000]  C'est une chose dont j'ai discuté hier avec Karine.
[41:09.000 --> 41:13.000]  Charge acquéreur, charge vendeur parce que Karine était sur une...
[41:13.000 --> 41:17.000]  Excusez-moi, je bois une petite gorge de d'eau régulièrement.
[41:17.000 --> 41:25.000]  Karine était sur un projet d'intercabiner avec Safdie.
[41:25.000 --> 41:30.000]  Et Safdie, à l'inverse de nous, ils sont charge vendeur.
[41:30.000 --> 41:33.000]  Tout le monde est charge vendeur chez Safdie.
[41:33.000 --> 41:36.000]  Et chez nous, tout le monde est charge acquéreur.
[41:36.000 --> 41:37.000]  Pourquoi?
[41:37.000 --> 41:41.000]  Les plus anciens connaissaient cette question par cœur.
[41:41.000 --> 41:43.000]  Les plus récents, pas évidemment.
[41:43.000 --> 41:47.000]  Pourquoi une agence a-t-elle un mandat charge vendeur?
[41:47.000 --> 41:49.000]  Pourquoi une autre a-t-elle un mandat charge acquéreur?
[41:49.000 --> 41:53.000]  Et d'ailleurs, la majorité des agences ont des mandats charge vendeur.
[41:55.000 --> 42:01.000]  À partir du moment où on met sur un mandat, je vais vous montrer un mandat.
[42:01.000 --> 42:03.000]  Ouf, pas de reconnaissance.
[42:03.000 --> 42:12.000]  On va prendre un mandat qui vient d'être frais, un mandat récent.
[42:12.000 --> 42:20.000]  Dans un mandat, on doit indiquer qui paiera les honneurs.
[42:20.000 --> 42:22.000]  Alors je vais vous en sortir un.
[42:22.000 --> 42:25.000]  Ouf, est-ce que j'ai un mandat qui se cache?
[42:25.000 --> 42:26.000]  En voici un ici.
[42:26.000 --> 42:27.000]  Un mandat de Pierre.
[42:33.000 --> 42:35.000]  Voici un mandat exclusif.
[42:35.000 --> 42:40.000]  Et dans ce mandat, comme dans tous les mandats de vente,
[42:40.000 --> 42:42.000]  vous ne le voyez pas là?
[42:42.000 --> 42:44.000]  C'est bon, vous le voyez.
[42:44.000 --> 42:49.000]  Dans ce mandat, c'est un mandat de Pierre qui a été fait le 15 décembre,
[42:49.000 --> 42:51.000]  il y a quelques jours à peine.
[42:51.000 --> 42:56.000]  Il est indiqué ici, comme dans tous les mandats de vente en France,
[42:56.000 --> 43:04.000]  que les honneurs seront payés par l'acquérateur.
[43:04.000 --> 43:06.000]  Et c'est obligatoire.
[43:06.000 --> 43:09.000]  Dans tous les mandats, on doit indiquer qui paiera les honneurs.
[43:09.000 --> 43:11.000]  Est-ce que c'est l'acquérateur?
[43:11.000 --> 43:13.000]  Est-ce que c'est lui, le vendeur?
[43:16.000 --> 43:20.000]  Nous, nous avons tous des mandats acquéreurs.
[43:20.000 --> 43:23.000]  D'autres agents sont des mandats vendeurs.
[43:23.000 --> 43:26.000]  D'autres agents sont des mandats acquéreurs.
[43:26.000 --> 43:31.000]  D'autres agents sont des mandats vendeurs ou des mandats acquéreurs.
[43:31.000 --> 43:36.000]  En fait, chaque agence immobilière, chaque réseau immobilier,
[43:36.000 --> 43:38.000]  fait ce qu'il veut.
[43:38.000 --> 43:43.000]  Il a le droit de faire payer les honneurs par le vendeur ou par l'acquérateur.
[43:43.000 --> 43:45.000]  C'est son choix.
[43:45.000 --> 43:47.000]  Par contre, à partir du moment où il l'a choisi,
[43:47.000 --> 43:49.000]  il doit l'indiquer sur le mandat.
[43:49.000 --> 43:51.000]  Ici.
[43:51.000 --> 43:53.000]  Une fois qu'il l'a indiqué sur le mandat,
[43:53.000 --> 43:57.000]  il doit, et nous allons voir tout de suite
[43:57.000 --> 44:04.000]  la petite annonce de Pierre sur ce loget par exemple.
[44:04.000 --> 44:07.000]  C'est un Avelu.
[44:07.000 --> 44:09.000]  On va tout de suite à Avelu.
[44:09.000 --> 44:11.000]  Sur ce loget.
[44:11.000 --> 44:14.000]  Une fois que vous avez indiqué sur votre mandat
[44:14.000 --> 44:18.000]  que c'est l'acquereur ou le vendeur qui paye les honneurs.
[44:18.000 --> 44:20.000]  Vous avez l'obligation de le mettre.
[44:20.000 --> 44:22.000]  On va voir ça tout de suite.
[44:22.000 --> 44:28.000]  C'était combien le produit de Pierre?
[44:28.000 --> 44:30.000]  130 000 plus 450 000.
[44:30.000 --> 44:34.000]  Allez, on va mettre 150 000 euros de budget max.
[44:34.000 --> 44:37.000]  Excusez-moi, ça s'accade un petit peu sur votre écran.
[44:37.000 --> 44:38.000]  C'est normal.
[44:38.000 --> 44:40.000]  On va mettre ici 150 000.
[44:40.000 --> 44:42.000]  Voilà.
[44:42.000 --> 44:43.000]  Voilà.
[44:43.000 --> 44:45.000]  Recherché.
[44:45.000 --> 44:47.000]  À Avelu dans le 59.
[44:47.000 --> 44:50.000]  Un département du Nord.
[44:50.000 --> 44:54.000]  Que Pierre produit.
[44:54.000 --> 44:56.000]  On ne va pas avoir très longtemps.
[44:56.000 --> 44:58.000]  Elle n'est pas en ligne cette annonce Pierre?
[44:58.000 --> 45:03.000]  Le mandat n'est pas en cours?
[45:03.000 --> 45:05.000]  J'ai pris un mandat qui n'était pas en cours.
[45:05.000 --> 45:07.000]  Donc je ne trouve pas sur ce loget.
[45:07.000 --> 45:08.000]  Ce n'est pas grave.
[45:08.000 --> 45:12.000]  On va prendre ici le mandat de Grégory Duflot de SAFTY.
[45:12.000 --> 45:14.000]  Parce que la loi est la même.
[45:14.000 --> 45:16.000]  Pourquoi je le trouve quand?
[45:16.000 --> 45:18.000]  On va regarder juste après.
[45:18.000 --> 45:22.000]  On voit ici sur l'annonce d'un confrère de Pierre à Avelu.
[45:22.000 --> 45:30.000]  Et on voit qu'il est indiqué dans l'annonce que les honoraires sont à la charge du vendeur.
[45:30.000 --> 45:33.000]  Lui, il est charge vendeur.
[45:33.000 --> 45:35.000]  C'est le monsieur chez SAFTY.
[45:35.000 --> 45:37.000]  Parce que parler de SAFTY, je ne me souviens plus de l'annonce.
[45:37.000 --> 45:39.000]  Par rapport à Kairos.
[45:39.000 --> 45:41.000]  Nous, on est charge acquirer.
[45:41.000 --> 45:44.000]  Donc il y a écrit ici, honoraires, charges, acquirer.
[45:44.000 --> 45:50.000]  Si la loi depuis 2014 est la loi Allure.
[45:50.000 --> 45:53.000]  Pourquoi je ne le vois pas dans ce loget Pierre?
[45:53.000 --> 45:55.000]  Ce bien?
[45:55.000 --> 45:58.000]  C'est bizarre.
[45:58.000 --> 46:02.000]  Le Goum.
[46:02.000 --> 46:05.000]  Je ne sais pas pourquoi je ne le vois pas.
[46:05.000 --> 46:07.000]  Il est classé en immeuble.
[46:07.000 --> 46:09.000]  C'est pour ça qu'il est classé en immeuble.
[46:09.000 --> 46:11.000]  Me dit Pierre, on va chercher les immeubles.
[46:11.000 --> 46:13.000]  Hop là.
[46:13.000 --> 46:15.000]  Appliquer.
[46:17.000 --> 46:20.000]  Et voici à la lucarne l'immobilier, monsieur Pierre Audequin.
[46:20.000 --> 46:23.000]  Ah oui, j'en ai entendu parler de ce truc-là qui est classé en immeuble.
[46:23.000 --> 46:25.000]  Oui, bien sûr.
[46:25.000 --> 46:26.000]  Bien sûr, bien sûr.
[46:26.000 --> 46:27.000]  C'est parce qu'il est en immeuble.
[46:27.000 --> 46:30.000]  Et on voit ici dans l'annonce de Pierre.
[46:31.000 --> 46:37.000]  Que les honoraires sont à la charge exclusive de l'acquirer.
[46:37.000 --> 46:40.000]  Et ce loget d'ailleurs le remet à d'autres endroits.
[46:40.000 --> 46:42.000]  Parce que c'est une information qui est devenue très importante.
[46:42.000 --> 46:45.000]  Donc c'est mis à plusieurs endroits.
[46:45.000 --> 46:47.000]  Alors.
[46:51.000 --> 46:59.000]  Lorsqu'on a indiqué sur le mandat charge acquirer.
[46:59.000 --> 47:02.000]  Donc ici on voit charge acquirer.
[47:02.000 --> 47:04.000]  On doit le mettre derrière sur le mandat.
[47:04.000 --> 47:07.000]  C'est la raison pour laquelle ici sur les produits de Pierre.
[47:07.000 --> 47:09.000]  On a écrit charge acquirer.
[47:09.000 --> 47:15.000]  Et après, ça veut dire que le compromis devra être fait charge acquirer.
[47:15.000 --> 47:19.000]  Et la vente devra être faite charge acquirer.
[47:19.000 --> 47:21.000]  C'est aussi simple que ça.
[47:21.000 --> 47:23.000]  À partir du moment où on le met dans le mandat au démarrage.
[47:23.000 --> 47:27.000]  Tout doit découler et on reste charge acquirer.
[47:27.000 --> 47:30.000]  Avant la loi NURT, il était très courant.
[47:30.000 --> 47:32.000]  Très courant.
[47:32.000 --> 47:39.000]  D'avoir un mandat qui disait X et une vente qui se faisait Y.
[47:39.000 --> 47:41.000]  On a un mandat charge vendeur.
[47:41.000 --> 47:45.000]  Et puis au fil du temps, parce que ça fait payer un peu moins d'impôts à l'acquirer.
[47:45.000 --> 47:46.000]  Pour telle et telle raison.
[47:46.000 --> 47:48.000]  Au fil du temps, pouf !
[47:48.000 --> 47:50.000]  Avec des chiffres notaires, ça devient charge acquirer.
[47:50.000 --> 47:52.000]  Ou l'inverse.
[47:52.000 --> 47:53.000]  On a un mandat charge acquirer.
[47:53.000 --> 47:55.000]  Et au fil du temps, parce que ça arrange l'acquirer.
[47:55.000 --> 47:59.000]  Pour le financement auprès de la banque, ça lui permet de faire un prêt à 110% machin, je sais pas quoi.
[47:59.000 --> 48:00.000]  Hop là !
[48:00.000 --> 48:02.000]  Ça passait charge en vente.
[48:02.000 --> 48:05.000]  C'était très très très courant.
[48:05.000 --> 48:07.000]  D'avoir un mandat qui disait quelque chose.
[48:07.000 --> 48:09.000]  Et finalement chez le notaire, ça se transformait en autre chose.
[48:09.000 --> 48:11.000]  C'était hyper courant.
[48:11.000 --> 48:13.000]  Les notaires eux-mêmes le faisaient tous les jours.
[48:13.000 --> 48:15.000]  Sans même nous demander notre avis.
[48:15.000 --> 48:18.000]  La loi NURT a dit stop.
[48:18.000 --> 48:20.000]  Ça c'est fini.
[48:20.000 --> 48:22.000]  C'était pas légal de le faire.
[48:22.000 --> 48:24.000]  Mais il n'y avait pas de sanction.
[48:24.000 --> 48:28.000]  Comme il n'y avait pas de sanction, il n'y avait pas d'amende, il n'y avait pas de peine de prison, il n'y avait pas de tout ça.
[48:28.000 --> 48:32.000]  Que ce ne soit pas légal, c'était pas un problème.
[48:32.000 --> 48:35.000]  Puisqu'il n'y avait pas de punition à l'acquis quand on faisait.
[48:35.000 --> 48:36.000]  Donc tout le monde le faisait.
[48:36.000 --> 48:38.000]  Y compris les notaires sans aucun problème.
[48:38.000 --> 48:42.000]  C'était même devenu un truc considéré comme, oh bah si c'est légal.
[48:42.000 --> 48:43.000]  Puisqu'on le fait tous les jours.
[48:43.000 --> 48:45.000]  Non, ça n'était pas légal.
[48:45.000 --> 48:47.000]  Ça n'a jamais été.
[48:47.000 --> 48:49.000]  Mais il n'y avait pas de punition.
[48:49.000 --> 48:52.000]  Donc c'était considéré comme pas si illégal que ça.
[48:52.000 --> 48:54.000]  La loi a dit stop.
[48:54.000 --> 48:55.000]  Ça suffit.
[48:55.000 --> 48:56.000]  Maintenant on arrête ça.
[48:56.000 --> 48:58.000]  Ça n'a jamais été légal.
[48:58.000 --> 49:00.000]  Mais comme il n'y avait pas de sanction, tout le monde le fait.
[49:00.000 --> 49:03.000]  Maintenant on a une sanction.
[49:03.000 --> 49:05.000]  Une sanction très d'autant.
[49:05.000 --> 49:06.000]  Très très très d'autant.
[49:06.000 --> 49:09.000]  C'est des centaines de milliers d'euros et de la prison.
[49:11.000 --> 49:14.000]  Donc maintenant ça ne change pas.
[49:14.000 --> 49:16.000]  Quand on échange acquirreur, on reste charge acquirreur.
[49:16.000 --> 49:18.000]  Quand on échange vendeur, on reste charge vendeur.
[49:18.000 --> 49:21.000]  Et là les notaires vous disent, oh on peut changer si on veut.
[49:21.000 --> 49:22.000]  Non, non, non, non, non, non.
[49:22.000 --> 49:23.000]  On ne change plus.
[49:23.000 --> 49:24.000]  Ça coûte trop cher.
[49:24.000 --> 49:26.000]  La sanction est beaucoup trop élevée.
[49:26.000 --> 49:30.000]  Il y a même des mesurements élevés par rapport à la gravité de l'infraction.
[49:32.000 --> 49:38.000]  Donc il a fallu qu'en 2014 et dans la suite de 2014, nous on l'a fait dès 2013,
[49:38.000 --> 49:42.000]  en prévision de la loi LUR qui arrivait pour 2014.
[49:42.000 --> 49:44.000]  Nous on a fait ce choix en 2013.
[49:44.000 --> 49:46.000]  On a été un peu précurseurs.
[49:46.000 --> 49:47.000]  On a été un peu plus rapides que les autres.
[49:47.000 --> 49:50.000]  Les autres ont fait ce choix en 2014.
[49:50.000 --> 49:53.000]  En gros quand ils se sont fait taper sur les doigts par la DGCCRF.
[49:53.000 --> 49:56.000]  Mais tout réseau a dû faire un foin.
[49:58.000 --> 50:05.000]  Parce que dans une agence, c'est facile de gérer je mets tel mandat charge acquirreur, tel mandat charge vendeur.
[50:05.000 --> 50:07.000]  Parce que dans une agence, il y a 10, 15 mandats.
[50:07.000 --> 50:12.000]  C'est facile de gérer sur ce mandat là j'ai mis charge acquirreur, je vais rester charge acquirreur.
[50:12.000 --> 50:17.000]  Sur ce mandat là je vais rester, j'ai choisi charge vendeur, je vais rester charge vendeur.
